x N
4.3434343434343425 0.022013945446139337
4.545454545454545 0.018701087056319107
4.747474747474747 0.015776398648415527
4.94949494949495 0.013206720209946718
5.1515151515151505 0.010963741955773562
5.353535353535353 0.009021700194802385
5.555555555555555 0.007355774511753275
5.757575757575758 0.005941191863780812
5.9595959595959584 0.004752932042424154
6.161616161616163 0.0037658726085014367
6.363636363636363 0.0029551996032208035
6.565656565656564 0.0022969291469721277
6.767676767676768 0.0017684205504897132
6.969696969696969 0.0013488022509255007
7.171717171717173 0.0010192696624892928
7.373737373737374 0.0007632443121044215
7.575757575757574 0.0005664047459452749
7.777777777777779 0.00041661202584743163
7.979797979797979 0.00030375774600181565
8.18181818181818 0.0002195624069418931
8.383838383838384 0.0001573486575911168
8.585858585858585 0.00011180899974816412
8.787878787878789 7.878224596311383e-05
8.98989898989899 5.5048102193024177e-05
9.19191919191919 3.814512156174377e-05
9.393939393939394 2.621409108395854e-05
9.595959595959595 1.786664392995591e-05
9.7979797979798 1.207741540543409e-05
10.0 8.097221891060793e-06
x N
-10.0 8.097221891060793e-06
-9.797979797979798 1.207741540543411e-05
-9.595959595959595 1.786664392995591e-05
-9.393939393939394 2.621409108395854e-05
-9.191919191919192 3.8145121561743705e-05
-8.98989898989899 5.5048102193024177e-05
-8.787878787878787 7.878224596311418e-05
-8.585858585858587 0.00011180899974816374
-8.383838383838384 0.0001573486575911168
-8.181818181818182 0.0002195624069418925
-7.979797979797979 0.00030375774600181565
-7.777777777777778 0.0004166120258474323
-7.575757575757576 0.0005664047459452734
-7.373737373737374 0.0007632443121044215
-7.171717171717171 0.0010192696624892956
-6.96969696969697 0.0013488022509254986
-6.767676767676768 0.0017684205504897132
-6.565656565656566 0.0022969291469721233
-6.363636363636363 0.0029551996032208035
-6.161616161616162 0.0037658726085014423
-5.959595959595959 0.00475293204242415
-5.757575757575758 0.005941191863780812
-5.555555555555555 0.007355774511753275
-5.353535353535354 0.009021700194802376
-5.151515151515151 0.010963741955773548
-4.94949494949495 0.013206720209946718
-4.747474747474747 0.015776398648415527
-4.545454545454546 0.018701087056319086
-4.343434343434343 0.022013945446139323
-4.141414141414142 0.025755815960009726
-3.9393939393939394 0.029978195228285966
-3.737373737373738 0.034745727646000035
-3.5353535353535355 0.040137393631805254
-3.333333333333333 0.04624544377258523
-3.1313131313131315 0.05317115140353177
-2.929292929292929 0.061016674683609246
-2.7272727272727275 0.06987276073048217
-2.525252525252525 0.07980267352185955
-2.3232323232323235 0.09082351709456545
-2.121212121212121 0.10288693740145932
-1.9191919191919187 0.11586186259650712
-1.717171717171718 0.1295223126542392
-1.5151515151515156 0.14354322898032468
-1.3131313131313131 0.1575066595711695
-1.1111111111111107 0.17091949657813793
-0.9090909090909101 0.1832424222832029
-0.7070707070707076 0.19392800003785293
-0.5050505050505052 0.20246424063949658
-0.30303030303030276 0.20841878789483148
-0.10101010101010033 0.21147835536538573
0.10101010101010033 0.21147835536538573
0.30303030303030276 0.20841878789483148
0.5050505050505052 0.20246424063949658
0.7070707070707076 0.19392800003785293
0.9090909090909083 0.18324242228320298
1.1111111111111107 0.17091949657813793
1.3131313131313131 0.1575066595711695
1.5151515151515156 0.14354322898032468
1.7171717171717162 0.1295223126542393
1.9191919191919187 0.11586186259650712
2.121212121212121 0.10288693740145932
2.3232323232323235 0.09082351709456545
2.525252525252524 0.0798026735218596
2.7272727272727266 0.0698727607304822
2.929292929292929 0.061016674683609246
3.1313131313131315 0.05317115140353177
3.333333333333334 0.046245443772585215
3.5353535353535346 0.040137393631805275
3.737373737373737 0.03474572764600005
3.9393939393939394 0.029978195228285966
4.141414141414142 0.025755815960009726
4.3434343434343425 0.02201394544613934
4.545454545454545 0.018701087056319107
4.747474747474747 0.015776398648415527
4.94949494949495 0.013206720209946718
5.1515151515151505 0.010963741955773562
5.353535353535353 0.009021700194802385
5.555555555555555 0.007355774511753275
5.757575757575758 0.005941191863780812
5.9595959595959584 0.004752932042424154
6.161616161616163 0.0037658726085014367
6.363636363636363 0.0029551996032208035
6.565656565656564 0.0022969291469721277
6.767676767676768 0.0017684205504897132
6.969696969696969 0.0013488022509255007
7.171717171717173 0.0010192696624892928
7.373737373737374 0.0007632443121044215
7.575757575757574 0.0005664047459452749
7.777777777777779 0.00041661202584743163
7.979797979797979 0.00030375774600181565
8.18181818181818 0.0002195624069418931
8.383838383838384 0.0001573486575911168
8.585858585858585 0.00011180899974816412
8.787878787878789 7.878224596311383e-05
8.98989898989899 5.5048102193024177e-05
9.19191919191919 3.814512156174377e-05
9.393939393939394 2.621409108395854e-05
9.595959595959595 1.786664392995591e-05
9.7979797979798 1.207741540543409e-05
10.0 8.097221891060793e-06
